慢熊 slow_bear — avg_r > 0 的全部 688 条

    #  策略                        币种             周期    方向     笔数    avg_r     胜率    total_r
  ───  ───────────────────────── ──────────── ──── ───── ────── ──────── ────── ──────────
  333  ulcer                     SOL            1h     S     53  +0.0247  47.2%      +1.31
  334  ma                        BNB            1h     S    195  +0.0247  34.4%      +4.82
  335  ma                        SOL            1h     L     81  +0.0247  40.7%      +2.00
  336  cmo                       ADA            5m     S     72  +0.0246  61.1%      +1.77
  337  accumulationdistribution  ADA            5m     L     55  +0.0245  83.6%      +1.35
  338  cmf                       ADA            5m     L     55  +0.0245  83.6%      +1.35
  339  ulcer                     ADA            1h     S    103  +0.0245  36.9%      +2.52
  340  vpt                       DOT           15m     S    130  +0.0244  40.0%      +3.17
  341  tvi                       SOL            1h     S    157  +0.0242  32.5%      +3.81
  342  demandindex               SOL            1h     S    106  +0.0241  34.9%      +2.56
  343  candlestick               SOL            1h     S    152  +0.0241  38.8%      +3.66
  344  atr                       TRX            1h     S    164  +0.0239  36.0%      +3.92
  345  adx                       XRP            1h     L    102  +0.0239  33.3%      +2.44
  346  ulcer                     ETH_COIN       1h     S     67  +0.0238  41.8%      +1.60
  347  vwap                      AVAX           1h     S    178  +0.0238  28.1%      +4.23
  348  demandindexshort          BNB_COIN      15m     S     36  +0.0237  75.0%      +0.85
  349  klinger                   AVAX           1h     S     88  +0.0234  61.4%      +2.06
  350  bbsqueeze                 DOT           15m     S    168  +0.0234  71.4%      +3.93
  351  cmo                       DOT            1m     S     42  +0.0232  57.1%      +0.98
  352  stddev                    LINK           1h     S     99  +0.0232  37.4%      +2.30
  353  accumulationdistribution  BTC            1h     L     42  +0.0228  69.0%      +0.96
  354  cmf                       BTC            1h     L     42  +0.0228  69.0%      +0.96
  355  adx                       AVAX          15m     S    130  +0.0223  44.6%      +2.90
  356  stddev                    ETH_COIN       1h     L     85  +0.0223  32.9%      +1.89
  357  adx                       TRX            1h     L    118  +0.0222  38.1%      +2.61
  358  demandindexshort          BTC           15m     S     38  +0.0220  81.6%      +0.83
  359  demandindex               ADA            1h     L    219  +0.0218  33.8%      +4.76
  360  awesomeoscillator         XRP            1h     S    202  +0.0217  32.2%      +4.38
  361  adx                       SOL           15m     S    141  +0.0216  43.3%      +3.05
  362  vpt                       SOL           15m     S    120  +0.0215  38.3%      +2.58
  363  advancedkline             XRP           15m     S     59  +0.0215  78.0%      +1.27
  364  adx                       ETH_COIN      15m     S    162  +0.0215  32.1%      +3.48
  365  pivotpoints               SOL            1h     L     52  +0.0213  44.2%      +1.11
  366  klinger                   XRP            1h     S    165  +0.0213  57.6%      +3.51
